Link,Location,Title,Date,Time,Description,Price,Location
http://generalassemb.ly/education/how-to-get-your-first-5000-users/london/37704,London,"How to Get Your First 5,000 Users","Monday, 31 July",6:15,"You’ve built it, but how do you make them come?",35,Atlanta
http://generalassemb.ly/education/python-for-data-science-intermediate/washington-dc/38814,"Washington, D.C.",Python for Data Science (Intermediate),"Tuesday, 11 July",6:30,"Python is an excellent programming language for data science, due to its rich set of data structures, the maturity of its data-focused libraries, and its ability to execute all aspects of the data science pipeline. This workshop will lay the foundation for data science in Python by exploring its data structures and data manipulation capabilities, as well as giving you a better understanding of the Python environment. This class is also a recommended preparatory workshop for students planning to enroll in General Assembly's Data Science course.",75,Atlanta
http://generalassemb.ly/education/hack-an-seo-plan-in-90-minutes/sydney/38800,Sydney,Hack an SEO Plan in 90 Minutes,"Wednesday, 12 July",6,The success of any website depends on its ability to attract the right audience and convert them into sales and leads. SEO can be the most effective way to do this as it increases the discoverability of your website when your customers really need it.,35,Atlanta
http://generalassemb.ly/education/digital-marketing-101/sydney/39566,Sydney,Digital Marketing 101,"Thursday, 3 August",9:30,"This 2-hour deep-dive will take a holistic look at digital marketing, covering many of the essential digital advertising platforms, tools and analytics systems that entrepreneurs & digital marketers alike use to help launch & optimize their online businesses.",50,Atlanta
http://generalassemb.ly/education/introduction-to-google-analytics/san-francisco/37894,San Francisco,Introduction to Google Analytics,"Thursday, 9 November",6:30,"Google Analytics is an incredibly robust, free tool for measuring web traffic data. In this class, you’ll get to know the basics of using Google Analytics to track and evaluate performance and draw insights to improve your business. Starting with basic terminology and key metrics, you’ll build a foundation of knowledge before diving deeper into more complex analytics techniques, including advertising tracking and custom segments. You’ll walk away with a fundamental understanding of Google Analytics’ role in running and operating your business.",65,Atlanta
http://generalassemb.ly/education/visual-design-101/san-francisco/37934,San Francisco,Visual Design 101,"Monday, 18 September",6:30,Get creative with Sketch.,40,Atlanta
http://generalassemb.ly/education/javascript-101/new-york-city/38508,New York City,Javascript 101,"Wednesday, 30 August",6:30,Expand your coding toolkit with the No. 1 language in tech.,90,Atlanta
http://generalassemb.ly/education/facebook-advertising-bootcamp/new-york-city/38530,New York City,Facebook Advertising Bootcamp,"Friday, 22 September",10,"To become a great Facebook Marketer, you have to truly master the nuances of the platform, and leverage industry vetted best practices. In this hands on Bootcamp, you'll discover how to go beyond just boosting posts by leveraging Custom Audiences and advanced Bidding Strategies. You’ll also learn how to properly measure and optimize your campaigns using both the Facebook pixel and other measurement platforms. In addition, you’ll learn how to achieve your business objectives by integrating Facebook with other Marketing channels including Email and Google AdWords.",299,Atlanta
http://generalassemb.ly/education/intro-to-the-internet-of-things-iot/london/39090,London,Intro to The Internet Of Things (IoT),"Thursday, 7 September",6:15,"Interest in the Internet of Things is exploding and industry experts project this sector will represent over $15 trillion by 2020. To make the most of this important trend you have to understand the players, technology and the new solutions that are coming to market.",25,Atlanta
http://generalassemb.ly/education/introduction-to-coding-html-css/denver/37981,Denver,Introduction to Coding: HTML & CSS,"Wednesday, 5 July",6,"Meet the programming languages that power the web, and write your first line of code.",25,Atlanta
http://generalassemb.ly/education/adobe-indesign-bootcamp/london/38165,London,Adobe InDesign Bootcamp,"Saturday, 16 September",10,"Bring your creative ideas to life with Adobe InDesign, the professional page layout standard, used by designers and production professionals to design, preflight, and publish a broad range of documents such as brochures, catalogs, magazines and books. InDesign allows you to lay out and design multiple page documents. This workshop is designed to get you up and running with Adobe InDesign in one day. The focus will be on step-by-step instruction leading students through the most important tools and concepts in InDesign.",100,Atlanta
http://generalassemb.ly/education/code-in-one-day-html-css-crash-course/singapore/37820,Singapore,Code in One Day: HTML & CSS Crash Course,"Saturday, 23 September",10,"HTML and CSS are the fundamental building blocks of the web. Whether you're a beginner who wants to get started in web development, a designer looking to hand-code their concepts, or a marketer who wants a little more control over their CMS, you'll need to know HTML and CSS to get the job done.",150,Atlanta
http://generalassemb.ly/education/understanding-the-stack-a-non-programmers-guide-to-web-and-mobile-programming/london/38662,London,Understanding the Stack: A Non-Programmer's Guide to Web and Mobile Programming,"Tuesday, 18 July",6:15,"Learn to talk the talk without walking the walk. This class is for people who want to speak intelligently about tech. Whether you're recruiting developers, a first-time product manager, or simply want to work in a tech startup, you need to know what is happening in the engineering department.",35,Atlanta
http://generalassemb.ly/education/google-analytics-bootcamp/san-francisco/37931,San Francisco,Google Analytics Bootcamp,"Saturday, 22 July",10,"Learn how to use your Google Analytics to get real insights into your website’s visitors, their behavior and any patterns and trends. You will learn the lean smart way to gain customer insights and then turn these into actions that will drive your business forward.",150,Atlanta
http://generalassemb.ly/education/agile-and-scrum-bootcamp/san-francisco/38127,San Francisco,Agile and Scrum Bootcamp,"Sunday, 6 August",10,"You're heard the term Agile, but what does it really mean and how does it all work? In the first half of the class we'll go over Agile fundamentals. This includes the guiding philosophy, the ""rituals"", and how to get a team up and running using Agile principals. The second half of the class will focus on the product owner role within Agile. Specifically we focus on how to write good user stories. This will be hands on and you'll get plenty of practice writing user stories that can be given to development. We'll end the class by breaking into teams and running a retrospective. Expect to walk out of class with ideas that you can bring to your own team on Monday.",250,Atlanta
http://generalassemb.ly/education/user-experience-design-bootcamp/chicago/39328,Chicago,User Experience Design Bootcamp,"Saturday, 23 September",10,"As technology changes and more media outlets compete for customers’ time, providing an enjoyable experience is critical to both attracting and keeping users.  This class aims to demystify UX by giving a practical and simple introduction to what UX is while also explaining some of its core concepts of usability.  This is a field that affects all areas of business — prepare to dip your toes into an ocean of new concepts and ideas that will enlighten your perspective on the  human-computer interaction experience.",210,Atlanta
http://generalassemb.ly/education/content-marketing-for-beginners/sydney/39066,Sydney,Content Marketing For Beginners,"Wednesday, 26 July",6,"Content Marketing has become the biggest buzzword in digital marketing, but very few people really know how to integrate content into their brand in a cohesive, strategic, and optimised way.",60,Atlanta
http://generalassemb.ly/education/introduction-to-financial-modeling-for-growth-bootcamp/san-francisco/38547,San Francisco,Introduction to Financial Modeling for Growth Bootcamp,"Saturday, 9 September",10,"As organization and companies become increasingly data driven with greater pressure to achieve financial results in condensed time frames, a fundamental understanding of financial statements and financial modeling is critical to your success whether at a larger company or entrepreneurial venture. Product, technical and marketing professionals can be empowered by understanding this language and skill to gain approval for new products, programs as well increased budgets for their key priorities. Entrepreneurs will of course need to understand this not only to raise funding but to ensure their ventures are sustainable for the long term.",85,Atlanta
http://generalassemb.ly/education/digital-marketing-key-metrics/london/37309,London,Digital Marketing: Key Metrics,"Wednesday, 16 August",2,"Become a data-driven marketer with this digital marketing key metrics class. Your marketing efforts need to be accountable, and you can’t improve what you don’t measure. Metrics—whether they be revenue, customer satisfaction, or engagement—become the driving force of our success. In this class, you’ll learn how to use the right analytics to grow your business, motivate your team, and communicate a coherent story to stakeholders using hard numbers. Break down the jargon, lose the fluffy reports and understand the data behind your marketing programmes.",55,Atlanta
http://generalassemb.ly/education/anatomy-of-an-idea/atlanta/38365,Atlanta,Anatomy of an Idea,"Wednesday, 2 August",6:30,This workshop is oriented around a real world challenge. We’ll use a four-step process to experience the anatomy of an idea.  We’ll walk through…,35,Atlanta
http://generalassemb.ly/education/digital-marketing-bootcamp--2/new-york-city/38492,New York City,Digital Marketing Bootcamp,"Saturday, 22 July",10,"The digital landscape is moving at lightning speed. Every industry has been affected by the advances in digital—from retail to brands and agencies. Has your manager recently assigned a digital marketing role to you? Are you a project or account manager at a creative agency? Do you work for a small company or a start-up, and handle all things digital on your own? Then this bootcamp may be just what you need! Specifically created for students and professionals interested in gaining a deeper understanding of everything digital marketing can encompass.",299,Atlanta
http://generalassemb.ly/education/javascript-101/atlanta/38369,Atlanta,Javascript 101,"Tuesday, 29 August",6:30,Expand your coding toolkit with the No. 1 language in tech.,28,Atlanta
http://generalassemb.ly/education/visual-design-fundamentals/san-francisco/39124,San Francisco,Visual Design Fundamentals,"Monday, 31 July",7,"The goal of visual design is to communicate a specific message to a targeted audience. Through the intentional and aesthetic manipulation of elements, one is able to influence and inspire. Color theory, layout and typography are among the many areas covered in this course, as well as common practices, such as creative briefs and approval processes.",40,Atlanta
